"Playlist name","Track name","Artist name"
"Richmond: The Game Bureau","Redneck","Lamb of God"
"Richmond: The Game Bureau","I'm Yours","Jason Mraz"
"Richmond: The Game Bureau","Ants Marching","Dave Matthews Band"
"Richmond: The Game Bureau","Life Less Ordinary","Carbon Leaf"
"Richmond: The Game Bureau","The Way It Is","Bruce Hornsby and the Range"
"Richmond: The Game Bureau","Sick of You","GWAR"
"Richmond: The Game Bureau","Low","Cracker"
"Richmond: The Game Bureau","Say Aah","Trey Songz"
"Richmond: The Game Bureau","Untitled (How Does It Feel)","D'Angelo"
"Rio de Janeiro: The Game Bureau","Garota de Ipanema","Antônio Carlos Jobim"
"Rio de Janeiro: The Game Bureau","Mas, Que Nada!","Jorge Ben Jor"
"Rio de Janeiro: The Game Bureau","Chega de Saudade","João Gilberto"
"Rio de Janeiro: The Game Bureau","Aquele Abraço","Gilberto Gil"
"Rio de Janeiro: The Game Bureau","As Rosas Não Falam","Cartola"
"Rio de Janeiro: The Game Bureau","Você","Tim Maia"
"Rio de Janeiro: The Game Bureau","Burguesinha","Seu Jorge"
"Rio de Janeiro: The Game Bureau","Ainda Bem","Marisa Monte"
"Rio de Janeiro: The Game Bureau","Samba da Bênção","Vinícius de Moraes"
"Rio de Janeiro: The Game Bureau","Deixa a Vida Me Levar","Zeca Pagodinho"
"Sacramento: The Game Bureau","The Distance","Cake"
"Sacramento: The Game Bureau","Change (In the House of Flies)","Deftones"
"Sacramento: The Game Bureau","Love Song","Tesla"
"Sacramento: The Game Bureau","Last Resort","Papa Roach"
"Sacramento: The Game Bureau","Get Got","Death Grips"
"Sacramento: The Game Bureau","Peach Scone","Hobo Johnson"
"Sacramento: The Game Bureau","Why I'm Here","Oleander"
"Sacramento: The Game Bureau","Feral Love","Chelsea Wolfe"
"Sacramento: The Game Bureau","Gone Wanderin'","Jackie Greene"
"Sacramento: The Game Bureau","Never There","Cake"
"Saint-Denis: The Game Bureau","Saint-Denis","Grand Corps Malade"
"Saint-Denis: The Game Bureau","Laisse Pas Traîner Ton Fils","Suprême NTM"
"Saint-Denis: The Game Bureau","That's My People","Suprême NTM"
"Saint-Denis: The Game Bureau","Banlieusards","Kery James"
"Saint-Denis: The Game Bureau","La France","Sniper"
"Saint-Denis: The Game Bureau","Désolé","Sexion d'Assaut"
"Saint-Denis: The Game Bureau","Bouge de Là","MC Solaar"
"Saint-Denis: The Game Bureau","Temps Mort","Booba"
"Saint-Denis: The Game Bureau","Bella","Maître Gims"
"Saint-Denis: The Game Bureau","Dreamin'","Youssoupha"
"San Antonio: The Game Bureau","She's About a Mover","Sir Douglas Quintet"
"San Antonio: The Game Bureau","New San Antonio Rose","Bob Wills & His Texas Playboys"
"San Antonio: The Game Bureau","At the Crossroads","Doug Sahm"
"San Antonio: The Game Bureau","Un Mojado Sin Licencia","Flaco Jiménez"
"San Antonio: The Game Bureau","Clumsy Sky","Girl in a Coma"
"San Antonio: The Game Bureau","Como Le Haré","Emilio Navaira"
"San Antonio: The Game Bureau","Hey Baby ¡Qué Paso!","Augie Meyers"
"San Antonio: The Game Bureau","Little Fox","The Krayolas"
"San Antonio: The Game Bureau","Trinity River","Charley Crockett"
"San Antonio: The Game Bureau","Viva Seguin","Santiago Jiménez Jr."
"San Diego: The Game Bureau","All the Small Things","blink-182"
"San Diego: The Game Bureau","Meant to Live","Switchfoot"
"San Diego: The Game Bureau","Interstate Love Song","Stone Temple Pilots"
"San Diego: The Game Bureau","What's My Age Again?","blink-182"
"San Diego: The Game Bureau","On a Rope","Rocket from the Crypt"
"San Diego: The Game Bureau","Alive","P.O.D."
"San Diego: The Game Bureau","Who Will Save Your Soul","Jewel"
"San Diego: The Game Bureau","In-A-Gadda-Da-Vida","Iron Butterfly"
"San Diego: The Game Bureau","Seein' Red","Unwritten Law"
"San Diego: The Game Bureau","King for a Day","Pierce the Veil"
"San Francisco: The Game Bureau","Lights","Journey"
"San Francisco: The Game Bureau","San Francisco (Be Sure to Wear Flowers in Your Hair)","Scott McKenzie"
"San Francisco: The Game Bureau","I Left My Heart in San Francisco","Tony Bennett"
"San Francisco: The Game Bureau","Somebody to Love","Jefferson Airplane"
"San Francisco: The Game Bureau","Truckin'","Grateful Dead"
"San Francisco: The Game Bureau","(Sittin' On) The Dock of the Bay","Otis Redding"
"San Francisco: The Game Bureau","Black Magic Woman","Santana"
"San Francisco: The Game Bureau","Everyday People","Sly & the Family Stone"
"San Francisco: The Game Bureau","Wicked Game","Chris Isaak"
"San Francisco: The Game Bureau","Proud Mary","Creedence Clearwater Revival"
"San Jose: The Game Bureau","Do You Know the Way to San Jose","Dionne Warwick"
"San Jose: The Game Bureau","All Star","Smash Mouth"
"San Jose: The Game Bureau","Listen to the Music","The Doobie Brothers"
"San Jose: The Game Bureau","La Puerta Negra","Los Tigres del Norte"
"San Jose: The Game Bureau","Psychotic Reaction","The Count Five"
"San Jose: The Game Bureau","Little Girl","Syndicate of Sound"
"San Jose: The Game Bureau","Walkin' on the Sun","Smash Mouth"
"San Jose: The Game Bureau","China Grove","The Doobie Brothers"
"San Jose: The Game Bureau","Summertime Thing","Chuck Prophet"
"San Jose: The Game Bureau","Then the Morning Comes","Smash Mouth"
"Santa Clara: The Game Bureau","Separate Ways (Worlds Apart)","Journey"
"Santa Clara: The Game Bureau","Basket Case","Green Day"
"Santa Clara: The Game Bureau","U Can't Touch This","MC Hammer"
"Santa Clara: The Game Bureau","The Humpty Dance","Digital Underground"
"Santa Clara: The Game Bureau","Blow the Whistle","Too $hort"
"Santa Clara: The Game Bureau","My Lovin' (You're Never Gonna Get It)","En Vogue"
"Santa Clara: The Game Bureau","The Power of Love","Huey Lewis and the News"
"Santa Clara: The Game Bureau","What Is Hip?","Tower of Power"
"Santa Clara: The Game Bureau","Epic","Faith No More"
"Santa Clara: The Game Bureau","Master of Puppets","Metallica"
"Savannah: The Game Bureau","Moon River","Johnny Mercer"
"Savannah: The Game Bureau","Come Rain or Come Shine","Johnny Mercer"
"Savannah: The Game Bureau","Jeepers Creepers","Johnny Mercer"
"Savannah: The Game Bureau","Take My Bones Away","Baroness"
"Savannah: The Game Bureau","Unknown Awareness","Kylesa"
"Savannah: The Game Bureau","Set the Dial","Black Tusk"
"Savannah: The Game Bureau","Midnight Rider","The Allman Brothers Band"
"Savannah: The Game Bureau","Georgia on My Mind","Willie Nelson"
"Savannah: The Game Bureau","Golden","Cusses"
"Savannah: The Game Bureau","Chlorine & Wine","Baroness"
"Seattle: The Game Bureau","Smells Like Teen Spirit","Nirvana"
"Seattle: The Game Bureau","Even Flow","Pearl Jam"
"Seattle: The Game Bureau","Black Hole Sun","Soundgarden"
"Seattle: The Game Bureau","Would?","Alice in Chains"
"Seattle: The Game Bureau","Purple Haze","Jimi Hendrix"
"Seattle: The Game Bureau","Barracuda","Heart"
"Seattle: The Game Bureau","Can't Hold Us","Macklemore & Ryan Lewis"
"Seattle: The Game Bureau","Baby Got Back","Sir Mix-a-Lot"
"Seattle: The Game Bureau","Float On","Modest Mouse"
"Seattle: The Game Bureau","Soul Meets Body","Death Cab for Cutie"
"Shreveport: The Game Bureau","Goodnight, Irene","Lead Belly"
"Shreveport: The Game Bureau","Blue on Black","Kenny Wayne Shepherd"
"Shreveport: The Game Bureau","Susie Q","Dale Hawkins"
"Shreveport: The Game Bureau","I'm So Lonesome I Could Cry","Hank Williams"
"Shreveport: The Game Bureau","Blue Moon of Kentucky","Elvis Presley"
"Shreveport: The Game Bureau","In the Jailhouse Now","Webb Pierce"
"Shreveport: The Game Bureau","Hello Walls","Faron Young"
"Shreveport: The Game Bureau","Roll On Big Mama","Joe Stampley"
"Shreveport: The Game Bureau","Where Did You Sleep Last Night","Lead Belly"
"Shreveport: The Game Bureau","Deja Voodoo","Kenny Wayne Shepherd"
"St. Louis: The Game Bureau","Johnny B. Goode","Chuck Berry"
"St. Louis: The Game Bureau","Country Grammar","Nelly"
"St. Louis: The Game Bureau","Sweet Little Sixteen","Chuck Berry"
"St. Louis: The Game Bureau","Hot in Herre","Nelly"
"St. Louis: The Game Bureau","Proud Mary","Ike & Tina Turner"
"St. Louis: The Game Bureau","So What","Miles Davis"
"St. Louis: The Game Bureau","Right Thurr","Chingy"
"St. Louis: The Game Bureau","Gloria","Laura Branigan"
"St. Louis: The Game Bureau","The Entertainer","Scott Joplin"
"St. Louis: The Game Bureau","New Madrid","Uncle Tupelo"
"Tampa: The Game Bureau","American Girl","Tom Petty and the Heartbreakers"
"Tampa: The Game Bureau","Slowly We Rot","Obituary"
"Tampa: The Game Bureau","Pull the Plug","Death"
"Tampa: The Game Bureau","Homage for Satan","Deicide"
"Tampa: The Game Bureau","The Science of Selling Yourself Short","Less Than Jake"
"Tampa: The Game Bureau","Standing at the End of the World","Have Gun, Will Travel"
"Tampa: The Game Bureau","3 AM","Matchbox Twenty"
"Tampa: The Game Bureau","Higher","Creed"
"Tampa: The Game Bureau","All for You","Sister Hazel"
"Tampa: The Game Bureau","God of Emptiness","Morbid Angel"
"Toronto: The Game Bureau","Started from the Bottom","Drake"
"Toronto: The Game Bureau","Blinding Lights","The Weeknd"
"Toronto: The Game Bureau","Tom Sawyer","Rush"
"Toronto: The Game Bureau","Heart of Gold","Neil Young"
"Toronto: The Game Bureau","One Week","Barenaked Ladies"
"Toronto: The Game Bureau","Sundown","Gordon Lightfoot"
"Toronto: The Game Bureau","Stitches","Shawn Mendes"
"Toronto: The Game Bureau","Anthems for a Seventeen Year-Old Girl","Broken Social Scene"
"Toronto: The Game Bureau","Help I'm Alive","Metric"
"Toronto: The Game Bureau","OK Blue Jays","The Bat Boys"
"Tucson: The Game Bureau","Blue Bayou","Linda Ronstadt"
"Tucson: The Game Bureau","You're No Good","Linda Ronstadt"
"Tucson: The Game Bureau","Crystal Frontier","Calexico"
"Tucson: The Game Bureau","Center of the Universe","Giant Sand"
"Tucson: The Game Bureau","Hold On, Hold On","Neko Case"
"Tucson: The Game Bureau","Witch Doctor","The Sidewinders"
"Tucson: The Game Bureau","Big Iron","Marty Robbins"
"Tucson: The Game Bureau","Not Even Stevie Nicks","Calexico"
"Tucson: The Game Bureau","Long, Long Time","Linda Ronstadt"
"Tucson: The Game Bureau","Get to Leave","Howe Gelb"
"Tuscaloosa: The Game Bureau","Yea Alabama (Fight Song)","University of Alabama"
"Tuscaloosa: The Game Bureau","Sweet Home Alabama","Lynyrd Skynyrd"
"Tuscaloosa: The Game Bureau","Mountain Music","Alabama"
"Tuscaloosa: The Game Bureau","Let There Be Rock","Drive-By Truckers"
"Tuscaloosa: The Game Bureau","Alabama Pines","Jason Isbell"
"Tuscaloosa: The Game Bureau","Call Me","St. Paul & The Broken Bones"
"Tuscaloosa: The Game Bureau","Mustang Sally","Wilson Pickett"
"Tuscaloosa: The Game Bureau","I Saw the Light","Hank Williams"
"Tuscaloosa: The Game Bureau","My Home's in Alabama","Alabama"
"Tuscaloosa: The Game Bureau","Red Dirt Girl","Emmylou Harris"
"Washington, D.C.: The Game Bureau","Bustin' Loose","Chuck Brown"
"Washington, D.C.: The Game Bureau","Banned in D.C.","Bad Brains"
"Washington, D.C.: The Game Bureau","Take the ""A"" Train","Duke Ellington"
"Washington, D.C.: The Game Bureau","Waiting Room","Fugazi"
"Washington, D.C.: The Game Bureau","Straight Edge","Minor Threat"
"Washington, D.C.: The Game Bureau","Let's Get It On","Marvin Gaye"
"Washington, D.C.: The Game Bureau","Drop the Bomb","Trouble Funk"
"Washington, D.C.: The Game Bureau","Pretty Girls","Wale"
"Washington, D.C.: The Game Bureau","Body Moves","Rare Essence"
"Washington, D.C.: The Game Bureau","Skillet","Backyard Band"
"Youngstown: The Game Bureau","Youngstown","Bruce Springsteen"
"Youngstown: The Game Bureau","Nobody but Me","The Human Beinz"
"Youngstown: The Game Bureau","My Hero","Foo Fighters"
"Youngstown: The Game Bureau","My City Was Gone","The Pretenders"
"Youngstown: The Game Bureau","Love Rollercoaster","Ohio Players"
"Youngstown: The Game Bureau","Walk Away","The James Gang"
"Youngstown: The Game Bureau","Whip It","Devo"
"Youngstown: The Game Bureau","Brass in Pocket","The Pretenders"
"Youngstown: The Game Bureau","Closer","Nine Inch Nails"
"Youngstown: The Game Bureau","Tighten Up","The Black Keys"
